IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1013860,1877,Deacon White,BSN,29,59,266,274,103,76,14,11,2,51,49,8,,3,,,,,,,0.387,,,,,,,,,,,0.028999999999999998,0.011000000000000001,2.67,0.405,0.545,0.95,0.158,0.387,,,,,,,,,0.429,30.1,70,29.3,0.0,9.5,-0.9,38.5,3.3,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,0.0,,29 - 29,29.3,0.6,,,,,,,,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,115,22,138,159,234,134,,,,,,,,,,,,,,,,,,0,,,,,,3.3
1009839,1877,Jim O'Rourke,BSN,26,61,265,285,96,78,14,4,0,68,23,20,,9,,,,,,,0.362,,,,,,,,,,,0.07,0.032,2.22,0.407,0.445,0.852,0.083,0.375,,,,,,,,,0.395,23.6,65,22.8,1.0,9.9,-3.3,31.0,2.7,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3,0.0,,26 - 26,22.8,0.6,,,,,,,,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,276,63,138,130,123,129,,,,,,,,,,,,,,,,,,0,,,,,,2.7
1006535,1877,Charley Jones,- - -,27,57,240,255,75,51,12,10,2,53,38,15,,25,,,,,,,0.313,,,,,,,,,,,0.059000000000000004,0.098,0.6,0.353,0.471,0.824,0.158,0.343,,,,,,,,,0.373,16.8,54,17.5,4.0,8.8,-2.9,28.0,2.5,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.0,,27 - 27,17.5,0.5,,,,,,,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,231,195,120,137,234,118,,,,,,,,,,,,,,,,,,0,,,,,,2.5
1008696,1877,Cal McVey,CHI,27,60,266,274,98,82,9,7,0,58,36,8,,11,,,,,,,0.368,,,,,,,,,,,0.028999999999999998,0.04,0.73,0.387,0.455,0.842,0.086,0.384,,,,,,,,,0.386,20.9,61,18.1,-3.0,9.5,1.4,26.6,2.3,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,0.0,,27 - 27,18.1,0.6,,,,,,,,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,115,80,131,132,128,133,,,,,,,,,,,,,,,,,,0,,,,,,2.3
1012436,1877,Joe Start,HAR,34,60,271,277,90,80,3,6,1,55,21,6,,2,,,,,,,0.332,,,,,,,,,,,0.022000000000000002,0.006999999999999999,3.0,0.347,0.399,0.745,0.066,0.332,,,,,,,,,0.343,11.7,52,13.7,2.0,9.6,0.0,25.9,2.3,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,34 - 34,13.7,0.6,,,,,,,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,85,14,118,116,98,115,,,,,,,,,,,,,,,,,,0,,,,,,2.3
1004629,1877,Joe Gerhardt,LOU,22,59,250,255,76,64,6,5,1,41,35,5,,8,,,,,,,0.304,,,,,,,,,,,0.02,0.031,0.63,0.318,0.38,0.698,0.076,0.311,,,,,,,,,0.32,6.2,43,1.8,12.0,8.8,1.1,24.3,2.3,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,0.0,,22 - 22,1.8,0.5,,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,77,62,108,111,112,107,,,,,,,,,,,,,,,,,,0,,,,,,2.3
1000272,1877,Cap Anson,CHI,25,59,255,264,86,66,19,1,0,52,32,9,,3,,,,,,,0.337,,,,,,,,,,,0.034,0.011000000000000001,3.0,0.36,0.42,0.779,0.082,0.341,,,,,,,,,0.359,14.5,53,11.8,1.0,9.1,1.8,24.4,2.1,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,0.0,,25 - 25,11.8,0.6,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,134,23,122,122,122,118,,,,,,,,,,,,,,,,,,0,,,,,,2.1
1002259,1877,John Clapp,STL,25,60,255,263,81,69,6,6,0,47,34,8,,6,,,,,,,0.318,,,,,,,,,,,0.03,0.023,1.33,0.338,0.388,0.727,0.071,0.325,,,,,,,,,0.335,9.5,48,11.5,1.0,9.1,0.9,23.0,2.0,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.0,,25 - 25,11.5,0.6,,,,,,,,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,120,45,115,113,104,112,,,,,,,,,,,,,,,,,,0,,,,,,2.0
1010232,1877,John Peters,CHI,27,60,265,266,84,71,10,3,0,45,41,1,,7,,,,,,,0.317,,,,,,,,,,,0.004,0.026000000000000002,0.14,0.32,0.377,0.697,0.06,0.326,,,,,,,,,0.32,6.4,45,3.7,5.0,9.2,3.7,22.2,2.0,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,0.0,,27 - 27,3.7,0.6,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,15,52,109,110,89,112,,,,,,,,,,,,,,,,,,0,,,,,,2.0
1014277,1877,George Wright,BSN,30,61,290,299,80,64,15,1,0,58,35,9,,15,,,,,,,0.276,,,,,,,,,,,0.03,0.05,0.6,0.298,0.334,0.632,0.059,0.291,,,,,,,,,0.293,1.0,45,0.2,6.0,10.4,1.3,18.4,1.7,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,0.0,,30 - 30,0.2,0.6,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,118,100,101,97,87,100,,,,,,,,,,,,,,,,,,0,,,,,,1.7
